6063,-3,1
6073,-3,2
6083,-3,1
6093,-3,1
6103,-2,1
6113,-4,3
6123,-8,6
6133,-15,10
6143,-22,18
6153,-16,13
6163,-11,11
6174,-14,13
6184,-8,7
6194,-11,10
6204,-8,7
6214,-11,8
6224,-10,9
6234,-9,7
6244,-8,7
6254,-9,5
6264,-8,7
6274,-8,4
6284,-8,7
6294,-8,4
6304,-11,7
6314,-12,9
6324,-8,7
6334,-6,4
6344,-6,5
6354,-4,4
6364,-6,4
6374,-4,3
6384,-6,3
6394,-3,3
6404,-6,3
6414,-4,3
6424,-5,3
6434,-4,2
6444,-7,7
6454,-10,7
6464,-12,14
6474,-11,12
6484,-11,9
6494,-12,11
6504,-10,8
6514,-8,7
6524,-8,7
6534,-9,8
6544,-10,8
6554,-8,7
6564,-9,7
6574,-8,6
6584,-8,6
6594,-6,6
6604,-8,6
6615,-8,6
6625,-11,8
6635,-13,12
6645,-11,14
6655,-9,10
6665,-7,9
6675,-5,6
6685,-8,7
6695,-8,4
6705,-8,6
6715,-5,3
6725,-7,6
6735,-6,3
6745,-7,5
6755,-7,4
6765,-5,6
6775,-13,11
6785,-10,7
6795,-10,8
6805,-8,9
6815,-8,7
6825,-6,5
6835,-5,4
6845,-5,4
6855,-7,3
6865,-4,4
6875,-7,5
6885,-4,3
6895,-6,4
6905,-4,3
6915,-5,3
6925,-4,3
6935,-4,4
6945,-10,13
6955,-10,10
6965,-10,7
6975,-12,10
6985,-8,7
6995,-7,7
7005,-5,6
7015,-5,5
7025,-5,4
7035,-4,4
7045,-5,5
7056,-4,5
7066,-6,3
7076,-4,4
7086,-5,3
7096,-6,6
7106,-9,12
7116,-8,7
7126,-12,7
7136,-7,8
7146,-8,7
7156,-6,4
7166,-6,5
7176,-5,4
7186,-5,4
7196,-4,4
7206,-6,4
7216,-5,4
7226,-4,4
7236,-5,5
7246,-9,10
7256,-13,9
7266,-9,10
7276,-9,7
7286,-11,14
7296,-18,14
7306,-15,15
7316,-14,12
7326,-13,7
7336,-8,7
7346,-9,7
7356,-11,9
7366,-8,7
7376,-13,9
7386,-10,10
7396,-12,10
7406,-11,10
7416,-9,7
7426,-9,8
7436,-11,8
7446,-22,21
7456,-18,20
7466,-15,14
7476,-12,10
7486,-11,11
7497,-11,9
7507,-9,9
7517,-10,7
7527,-8,5
7537,-9,7
7547,-9,5
7557,-8,6
7567,-8,7
7577,-12,14
7587,-11,10
7597,-10,9
7607,-10,10
7617,-14,15
7627,-10,9
7637,-9,8
7647,-6,7
7657,-7,6
7667,-5,7
7677,-7,6
7687,-5,6
7697,-6,5
7707,-6,6
7717,-5,6
7727,-5,5
7737,-10,11
7747,-8,7
7757,-21,21
7767,-34,24
7777,-20,21
7787,-15,16
7797,-12,12
7807,-15,13
7817,-9,8
7827,-17,13
7837,-7,9
7847,-11,9
7857,-10,7
7867,-12,10
7877,-9,7
7887,-12,10
7897,-8,7
7907,-11,10
7917,-8,8
7927,-15,15
7938,-11,8
7948,-11,10
7958,-6,7
7968,-11,7
7978,-7,5
7988,-8,7
7998,-9,7
8008,-6,6
8018,-8,7
8028,-9,7
8038,-7,4
8048,-5,6
8058,-5,4
8068,-11,6
8078,-13,11
8088,-11,10
8098,-8,8
8108,-11,11
8118,-12,10
8128,-11,11
8138,-15,14
8148,-11,9
8158,-11,7
8168,-8,8
8178,-11,8
8188,-9,8
8198,-11,8
8208,-11,8
8218,-7,8
8228,-10,9
8238,-11,7
8248,-8,7
8258,-9,6
8268,-8,6
8278,-10,7
8288,-9,8
8298,-8,6
8308,-5,6
8318,-4,3
8328,-3,2
8338,-3,2
8348,-2,2
8358,-2,1
8368,-2,2
8379,-2,1
8389,-1,1
8399,-4,3
8409,-11,11
8419,-12,9
8429,-8,8
8439,-7,7
8449,-6,6
8459,-10,11
8469,-11,10
8479,-15,13
8489,-11,10
8499,-9,8
8509,-10,11
8519,-8,7
8529,-8,9
8539,-8,9
8549,-8,5
8559,-8,9
8569,-7,7
8579,-5,7
8589,-7,9
8599,-5,7
8609,-5,7
8619,-5,7
8629,-7,6
8639,-5,4
8649,-5,3
8659,-3,2
8669,-4,2
8679,-2,1
8689,-1,0
8699,-2,0
8709,-2,0
8719,-1,0
8729,-2,0
8739,-4,3
8749,-13,15
8759,-8,7
8769,-8,4
8779,-9,10
8789,-11,13
8799,-11,12
8809,-16,19
8820,-14,14
8830,-11,11
8840,-9,8
8850,-8,7
8860,-8,7
8870,-8,6
8880,-8,6
8890,-8,7
8900,-8,7
8910,-8,6
8920,-8,7
8930,-9,10
8940,-11,7
8950,-9,7
8960,-6,7
8970,-9,5
8980,-10,7
8990,-8,7
9000,-10,6
9010,-9,7
9020,-8,6
9030,-8,4
9040,-8,6
9050,-7,5
9060,-8,3
9070,-7,4
9080,-10,10
9090,-7,7
9100,-5,6
9110,-6,5
9120,-8,8
9130,-10,13
9140,-10,13
9150,-8,7
9160,-11,12
9170,-8,6
9180,-8,7
9190,-7,7
9200,-6,6
9210,-7,7
9220,-6,6
9230,-6,5
9240,-10,10
9250,-12,10
9261,-8,8
9271,-9,9
9281,-8,7
9291,-8,7
9301,-12,13
9311,-13,7
9321,-9,7
9331,-9,7
9341,-9,7
9351,-7,7
9361,-8,7
9371,-8,6
9381,-8,7
9391,-7,10
9401,-8,7
9411,-11,13
9421,-8,8
9431,-9,12
9441,-8,7
9451,-7,7
9461,-7,5
9471,-4,4
9481,-4,3
9491,-4,2
9501,-4,2
9511,-3,2
9521,-4,2
9531,-4,2
9541,-2,1
9551,-3,2
9561,-5,4
9571,-4,2
9581,-9,7
9591,-7,9
9601,-4,7
9611,-11,14
9621,-15,14
9631,-12,14
9641,-8,7
9651,-8,7
9661,-8,7
9671,-9,9
